30,20,95,40,1000000
30,20,40,60,1000000
40,60,20,100,1000000
20,100,40,135,1000000
40,135,95,40,10000
40,135,40,185,1000000
40,185,115,130,1000000
40,185,105,200,1000000
95,40,180,75,1000000
180,75,140,155,1000000
140,155,215,205,10000
215,205,170,230,1000000
170,230,200,260,1000000
170,230,120,275,1000000
120,275,150,285,1000000
215,205,230,120,1000000
230,120,280,80,1000000
230,120,270,165,1000000
280,80,200,40,1000000
200,40,180,75,1000000
200,40,275,20,1000000
275,20,300,50,1000000
280,80,355,60,1000000
355,60,380,85,1000000
380,85,340,100,1000000
340,100,355,125,1000000
355,125,305,150,1000000
280,80,305,150,1000000
305,150,330,205,1000000
330,205,260,250,1000000
260,250,300,275,1000000
300,275,350,240,1000000
200,260,260,250,1000000
